sex,age,calyr,risk_score,popn,cases,rate
2,10,1997,2,308189,8,2.596
2,10,1997,3,308189,1,0.324
2,11,1997,1,303379,321,105.808
2,11,1997,2,303379,5,1.648
2,11,1997,3,303379,0,0
2,12,1997,1,303299,236,77.811
2,12,1997,2,303299,7,2.308
2,12,1997,3,303299,0,0
2,13,1997,1,292252,277,94.781
2,13,1997,2,292252,6,2.053
2,13,1997,3,292252,0,0
2,14,1997,1,291080,316,108.561
2,14,1997,2,291080,12,4.123
2,14,1997,3,291080,0,0
2,15,1997,1,291267,391,134.241
2,15,1997,2,291267,7,2.403
2,15,1997,3,291267,1,0.343
2,16,1997,1,297452,529,177.844
2,16,1997,2,297452,18,6.051
2,16,1997,3,297452,2,0.672
2,17,1997,1,299645,639,213.252
2,17,1997,2,299645,39,13.015
2,17,1997,3,299645,1,0.334
2,18,1997,1,287295,677,235.646
2,18,1997,2,287295,45,15.663
2,18,1997,3,287295,3,1.044
2,19,1997,1,270681,638,235.702
2,19,1997,2,270681,38,14.039
2,19,1997,3,270681,1,0.369
2,20,1997,1,267477,674,251.984
2,20,1997,2,267477,41,15.328
2,20,1997,3,267477,1,0.374
2,21,1997,1,279908,703,251.154
2,21,1997,2,279908,39,13.933
2,21,1997,3,279908,0,0
2,22,1997,1,292865,734,250.627
2,22,1997,2,292865,52,17.756
2,22,1997,3,292865,2,0.683
2,23,1997,1,307617,723,235.033
2,23,1997,2,307617,52,16.904
2,23,1997,3,307617,0,0
2,24,1997,1,330015,782,236.959
2,24,1997,2,330015,47,14.242
2,24,1997,3,330015,0,0
2,25,1997,1,352026,888,252.254
2,25,1997,2,352026,65,18.465
2,25,1997,3,352026,0,0
2,26,1997,1,367969,879,238.879
2,26,1997,2,367969,66,17.936
2,26,1997,3,367969,0,0
2,27,1997,1,365341,862,235.944
2,27,1997,2,365341,68,18.613
2,27,1997,3,365341,0,0
2,28,1997,1,378578,899,237.468
2,28,1997,2,378578,88,23.245
2,28,1997,3,378578,1,0.264
2,29,1997,1,382983,906,236.564
2,29,1997,2,382983,86,22.455
2,29,1997,3,382983,0,0
2,30,1997,1,393145,885,225.108
2,30,1997,2,393145,59,15.007
2,30,1997,3,393145,0,0
2,31,1997,1,397742,943,237.088
2,31,1997,2,397742,70,17.599
2,31,1997,3,397742,1,0.251
2,32,1997,1,400852,930,232.006
2,32,1997,2,400852,97,24.198
2,32,1997,3,400852,0,0
2,33,1997,1,398247,921,231.264
2,33,1997,2,398247,67,16.824
2,33,1997,3,398247,0,0
2,34,1997,1,391482,914,233.472
2,34,1997,2,391482,64,16.348
2,34,1997,3,391482,0,0
2,35,1997,1,381475,847,222.033
2,35,1997,2,381475,54,14.156
2,35,1997,3,381475,0,0
2,36,1997,1,371490,824,221.809
2,36,1997,2,371490,45,12.113
2,36,1997,3,371490,0,0
2,37,1997,1,355855,864,242.796
2,37,1997,2,355855,47,13.208
2,37,1997,3,355855,0,0
2,38,1997,1,349337,767,219.559
2,38,1997,2,349337,41,11.737
2,38,1997,3,349337,2,0.573
2,39,1997,1,343979,777,225.886
2,39,1997,2,343979,46,13.373
2,39,1997,3,343979,0,0
2,40,1997,1,333328,786,235.804
2,40,1997,2,333328,43,12.9
2,40,1997,3,333328,0,0
2,41,1997,1,322276,740,229.617
2,41,1997,2,322276,39,12.101
2,41,1997,3,322276,0,0
2,42,1997,1,314203,734,233.607
2,42,1997,2,314203,41,13.049
2,42,1997,3,314203,0,0
2,43,1997,1,317497,791,249.136
2,43,1997,2,317497,49,15.433
2,43,1997,3,317497,1,0.315
2,44,1997,1,314774,781,248.115
2,44,1997,2,314774,54,17.155
2,44,1997,3,314774,1,0.318
2,45,1997,1,311512,817,262.269
2,45,1997,2,311512,43,13.804
2,45,1997,3,311512,0,0
2,46,1997,1,314205,869,276.571
2,46,1997,2,314205,46,14.64
2,46,1997,3,314205,0,0
2,47,1997,1,324329,845,260.538
2,47,1997,2,324329,72,22.2
2,47,1997,3,324329,0,0
2,48,1997,1,334737,891,266.179
2,48,1997,2,334737,55,16.431
2,48,1997,3,334737,0,0
2,49,1997,1,359923,1012,281.171
2,49,1997,2,359923,65,18.059
2,49,1997,3,359923,0,0
2,50,1997,1,384068,1068,278.076
2,50,1997,2,384068,82,21.35
2,50,1997,3,384068,1,0.26
2,51,1997,1,308031,965,313.28
2,51,1997,2,308031,68,22.076
2,51,1997,3,308031,0,0
2,52,1997,1,302242,993,328.545
2,52,1997,2,302242,72,23.822
2,52,1997,3,302242,0,0
2,53,1997,1,298439,1033,346.134
2,53,1997,2,298439,70,23.455
2,53,1997,3,298439,0,0
2,54,1997,1,284068,1026,361.181
2,54,1997,2,284068,88,30.978
2,54,1997,3,284068,0,0
2,55,1997,1,257741,927,359.663
2,55,1997,2,257741,76,29.487
2,55,1997,3,257741,0,0
2,56,1997,1,241577,920,380.831
2,56,1997,2,241577,69,28.562
2,56,1997,3,241577,1,0.414
2,57,1997,1,253347,1001,395.11
2,57,1997,2,253347,99,39.077
2,57,1997,3,253347,0,0
2,58,1997,1,255218,1151,450.987
2,58,1997,2,255218,95,37.223
2,58,1997,3,255218,0,0
2,59,1997,1,252488,1150,455.467
2,59,1997,2,252488,102,40.398
2,59,1997,3,252488,0,0
2,60,1997,1,246656,1203,487.724
2,60,1997,2,246656,110,44.597
2,60,1997,3,246656,1,0.405
2,61,1997,1,241984,1184,489.289
2,61,1997,2,241984,130,53.723
2,61,1997,3,241984,0,0
2,62,1997,1,235351,1208,513.276
2,62,1997,2,235351,108,45.889
2,62,1997,3,235351,0,0
2,63,1997,1,228273,1298,568.617
2,63,1997,2,228273,121,53.007
2,63,1997,3,228273,1,0.438
2,64,1997,1,228689,1299,568.02
2,64,1997,2,228689,127,55.534
2,64,1997,3,228689,1,0.437
2,65,1997,1,232430,1435,617.39
2,65,1997,2,232430,152,65.396
2,65,1997,3,232430,0,0
2,66,1997,1,236921,1575,664.779
2,66,1997,2,236921,154,65.001
2,66,1997,3,236921,1,0.422
2,67,1997,1,234945,1675,712.933
2,67,1997,2,234945,158,67.25
2,67,1997,3,234945,0,0
2,68,1997,1,228914,1811,791.127
2,68,1997,2,228914,174,76.011
2,68,1997,3,228914,0,0
2,69,1997,1,222786,1845,828.149
2,69,1997,2,222786,174,78.102
2,69,1997,3,222786,1,0.449
2,70,1997,1,222821,1982,889.503
2,70,1997,2,222821,182,81.68
2,70,1997,3,222821,0,0
2,71,1997,1,222249,2186,983.581
2,71,1997,2,222249,203,91.339
2,71,1997,3,222249,3,1.35
2,72,1997,1,218630,2291,1047.889
2,72,1997,2,218630,221,101.084
2,72,1997,3,218630,0,0
2,73,1997,1,216442,2443,1128.709
2,73,1997,2,216442,229,105.802
2,73,1997,3,216442,0,0
2,74,1997,1,214654,2616,1218.705
2,74,1997,2,214654,255,118.796
2,74,1997,3,214654,0,0
2,75,1997,1,219152,2879,1313.7
2,75,1997,2,219152,262,119.552
2,75,1997,3,219152,1,0.456
2,76,1997,1,225068,3224,1432.456
2,76,1997,2,225068,325,144.401
2,76,1997,3,225068,0,0
2,77,1997,1,221889,3607,1625.588
2,77,1997,2,221889,317,142.864
2,77,1997,3,221889,0,0
2,78,1997,1,151379,2708,1788.887
2,78,1997,2,151379,250,165.148
2,78,1997,3,151379,0,0
2,79,1997,1,133941,2717,2028.505
2,79,1997,2,133941,221,164.998
2,79,1997,3,133941,0,0
2,80,1997,1,142671,3073,2153.907
2,80,1997,2,142671,250,175.228
2,80,1997,3,142671,1,0.701
2,81,1997,1,144902,3393,2341.583
2,81,1997,2,144902,261,180.122
2,81,1997,3,144902,0,0
2,82,1997,1,145638,3835,2633.241
2,82,1997,2,145638,314,215.603
2,82,1997,3,145638,1,0.687
2,83,1997,1,136343,3984,2922.042
2,83,1997,2,136343,298,218.566
2,83,1997,3,136343,1,0.733
2,84,1997,1,123319,3977,3224.969
2,84,1997,2,123319,304,246.515
2,84,1997,3,123319,1,0.811
2,85,1997,1,109557,3750,3422.876
2,85,1997,2,109557,274,250.098
2,85,1997,3,109557,0,0
